player,average,strike_rate,balls_per_boundary,boundary_to_dot_ratio,balls_per_dismissal,form_index,consistency,recent_mean,recent_std,next_match_runs
A Badoni,27.51,138.56,6.26,0.51,19.86,41.32,26.09,39.6,23.08765904114144,3
A Ashish Reddy,18.67,145.08,6.23,0.53,12.87,14.92,8.7,14.0,10.411532067856296,2
A Manohar,15.37,124.26,6.35,0.41,12.37,16.02,20.0,12.2,15.929846201391902,12
A Chopra,10.6,74.65,10.14,0.17,14.2,9.74,0.0,10.2,8.37615663654877,11
A Flintoff,31.0,116.98,7.57,0.35,26.5,15.8,0.0,20.666666666666668,3.39934634239519,16
A Dananjaya,4.0,80.0,0.0,0.0,0.0,1.2,0.0,4.0,0.0,4
A Choudhary,25.0,125.0,10.0,0.5,20.0,6.42,0.0,8.333333333333334,4.784233364802441,4
A Chandila,4.0,57.14,0.0,0.0,0.0,1.2,0.0,2.0,2.0,4
A Kamboj,8.0,114.29,7.0,0.33,7.0,3.32,0.0,2.8,1.7204650534085253,5
A Kumble,17.5,74.47,15.67,0.14,23.5,1.32,0.0,1.2,0.4,1
A Mishra,13.61,90.93,11.64,0.2,14.96,9.76,3.64,8.0,5.966573556070519,19
A Mukund,9.5,86.36,22.0,0.12,11.0,5.7,0.0,9.5,9.5,19
A Nortje,9.8,100.0,8.17,0.26,9.8,1.86,0.0,1.8,1.6,0
A Nehra,6.83,66.13,15.5,0.11,10.33,0.48,0.0,0.4,0.48989794855663565,1
A Mhatre,34.29,188.98,3.02,1.02,18.14,39.28,71.43,35.6,33.32626591744116,34
A Mithun,6.8,130.77,5.2,0.45,5.2,6.74,0.0,5.8,4.308131845707603,2
A Raghuvanshi,28.94,144.69,5.16,0.67,20.0,25.84,44.44,26.0,16.84042754801671,14
A Singh,0.5,20.0,0.0,0.0,2.5,0.44,0.0,0.4,0.48989794855663565,0
A Symonds,40.58,129.87,6.52,0.42,31.25,6.46,38.89,5.4,2.1540659228538015,8
A Tomar,4.0,50.0,8.0,0.14,8.0,1.2,0.0,4.0,0.0,4
A Uniyal,4.0,57.14,0.0,0.0,7.0,1.2,0.0,2.0,2.0,4
AA Chavan,12.0,109.09,5.5,0.4,11.0,3.36,0.0,4.0,2.449489742783178,7
A Zampa,3.0,62.5,24.0,0.08,4.8,3.54,0.0,3.0,2.6076809620810595,2
AA Jhunjhunwala,18.08,103.33,8.75,0.27,17.5,8.24,13.33,6.8,7.025667228100118,19
AA Bilakhia,13.8,81.18,17.0,0.12,17.0,7.38,0.0,7.0,5.513619500836088,2
AA Kulkarni,4.5,112.5,4.0,0.4,4.0,2.7,0.0,4.5,4.5,9
AB Agarkar,22.38,116.23,8.56,0.33,19.25,7.48,5.56,6.8,2.227105745132009,9
AA Noffke,9.0,90.0,10.0,0.25,10.0,2.7,0.0,9.0,0.0,9
AB Dinda,2.89,54.17,24.0,0.07,5.33,3.9,0.0,3.4,2.65329983228432,7
AB de Villiers,42.47,151.89,5.11,0.64,27.96,18.94,38.37,16.6,8.06473806146238,11
AB Barath,21.0,100.0,7.0,0.29,21.0,10.72,33.33,14.0,13.589211407093005,2
AB McDonald,24.6,123.0,7.69,0.37,20.0,10.62,22.22,11.0,10.039920318408907,0
AC Blizzard,17.14,133.33,3.91,0.49,12.86,16.1,28.57,15.4,18.661189672687005,0
AC Gilchrist,27.59,138.39,4.52,0.49,19.93,41.68,32.5,40.0,26.283074401599215,5
AC Thomas,10.0,105.26,9.5,0.25,9.5,5.44,0.0,5.0,4.847679857416329,7
AC Voges,45.25,126.57,7.94,0.41,35.75,21.34,28.57,19.8,7.704544113703289,8
AD Mascarenhas,8.78,101.28,13.0,0.21,8.67,5.16,0.0,4.4,2.939387691339814,5
AD Hales,24.67,125.42,6.21,0.4,19.67,21.9,50.0,20.6,17.304334717058612,37
AD Mathews,25.86,125.91,7.88,0.4,20.54,15.42,19.51,13.4,11.77454882362802,31
AD Nath,9.0,91.84,10.89,0.2,9.8,13.02,0.0,12.2,8.657944328765346,3
AG Murtaza,10.0,71.43,14.0,0.14,14.0,2.72,0.0,3.3333333333333335,1.247219128924647,5
AD Russell,29.5,174.1,3.72,0.68,16.94,28.42,33.91,26.6,19.417517864031954,0
AG Paunikar,9.8,84.48,6.44,0.24,11.6,11.54,0.0,9.8,7.0823724838503095,15
AF Milne,5.75,79.31,29.0,0.08,7.25,4.26,0.0,4.2,5.706137047074843,0
AJ Hosein,16.0,160.0,5.0,0.67,0.0,4.8,0.0,16.0,0.0,16
AJ Finch,25.51,127.95,5.6,0.42,19.94,17.32,29.67,17.2,20.759576103572055,14
AJ Turner,4.8,85.71,14.0,0.14,5.6,6.76,0.0,4.8,5.912698199637792,16
AJ Tye,11.38,119.74,6.91,0.31,9.5,3.76,0.0,4.0,5.513619500836088,6
AK Markram,31.3,135.08,6.35,0.52,23.17,38.42,38.18,34.2,20.604853797103242,36
AL Menaria,19.1,112.64,8.48,0.3,16.95,13.76,21.74,13.2,8.133879763065101,1
AM Nayar,18.67,116.46,7.69,0.34,16.03,11.92,12.0,10.8,6.764613810115105,11
AN Ahmed,36.0,138.46,5.2,0.5,26.0,5.68,0.0,6.4,5.9531504264548865,1
AM Rahane,31.45,125.02,6.31,0.44,25.16,35.26,38.8,33.8,13.362634470792052,15
AN Ghosh,3.5,87.5,8.0,0.2,4.0,2.1,0.0,3.5,3.5,7
AP Dole,17.0,154.55,5.5,0.67,11.0,10.04,50.0,17.0,13.0,30
AP Majumdar,21.75,114.47,8.44,0.33,19.0,19.66,50.0,21.75,9.202581159652981,17
AP Tare,14.12,124.18,5.35,0.39,11.38,5.4,7.41,5.2,7.110555533852471,0
AR Bawne,12.0,100.0,12.0,0.25,0.0,3.6,0.0,12.0,0.0,12
AR Patel,22.81,133.99,6.38,0.48,17.02,25.98,15.45,24.6,13.154466921924278,25
AS Raut,21.56,116.17,8.35,0.32,18.56,14.2,12.5,12.4,8.56971411425142,5
AS Rajpoot,6.5,63.41,13.67,0.11,10.25,4.16,0.0,4.0,2.898275349237888,2
AS Joseph,27.0,84.38,10.67,0.19,32.0,5.46,0.0,5.4,5.388877434122992,7
AS Roy,6.5,104.0,8.33,0.27,6.25,4.44,0.0,4.4,4.841487374764082,0
AT Carey,16.0,110.34,29.0,0.12,14.5,7.92,0.0,10.666666666666666,4.714045207910316,4
AS Yadav,9.8,125.64,5.57,0.41,7.8,7.3,0.0,7.8,5.81033561853358,0
AT Rayudu,29.38,127.54,6.41,0.45,23.03,16.82,32.43,15.0,6.54217089351845,19
AU Rashid,11.0,137.5,5.33,0.43,8.0,5.88,0.0,11.0,7.0,4
AUK Pathan,7.8,169.57,3.29,0.64,4.6,5.22,0.0,5.4,4.882622246293481,4
Abdul Samad,19.55,151.63,5.16,0.58,12.89,11.62,11.54,10.6,17.21162397916013,1
Abdur Razzak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Abhishek Sharma,27.52,163.02,4.05,0.69,16.88,44.74,39.19,39.8,25.3645421799803,32
Abdul Basith,1.0,100.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,1
